學年度,等級別,原住民在學數,全體在學數,原住民佔比,口徑註記
104,二專,420,8323.0,0.05046,109前口徑：未含附設進修專校
104,五專,4685,89143.0,0.05256,
104,博士班,99,29333.0,0.00338,
104,學士班,19361,1035218.0,0.0187,
104,碩士班,1409,170428.0,0.00827,
105,二專,439,7259.0,0.06048,109前口徑：未含附設進修專校
105,五專,4495,88425.0,0.05083,
105,博士班,127,28809.0,0.00441,
105,學士班,18926,1015345.0,0.01864,
105,碩士班,1486,169365.0,0.00877,
106,二專,386,6061.0,0.06369,109前口徑：未含附設進修專校
106,五專,4266,84777.0,0.05032,
106,博士班,138,28346.0,0.00487,
106,學士班,18991,985927.0,0.01926,
106,碩士班,1682,168783.0,0.00997,
107,二專,363,5162.0,0.07032,109前口徑：未含附設進修專校
107,五專,4172,81496.0,0.05119,
107,博士班,147,28167.0,0.00522,
107,學士班,19331,961905.0,0.0201,
107,碩士班,1846,168092.0,0.01098,
108,二專,356,4784.0,0.07441,109前口徑：未含附設進修專校
108,五專,4118,79157.0,0.05202,
108,博士班,155,28490.0,0.00544,
108,學士班,19141,932457.0,0.02053,
108,碩士班,2012,167979.0,0.01198,
109,二專,599,12144.0,0.04932,
109,五專,4002,76590.0,0.05225,
109,博士班,180,28535.0,0.00631,
109,學士班,19655,917146.0,0.02143,
109,碩士班,2190,168743.0,0.01298,
110,二專,519,10129.0,0.05124,
110,五專,3879,73540.0,0.05275,
110,博士班,202,28907.0,0.00699,
110,學士班,19836,901475.0,0.022,
110,碩士班,2324,171779.0,0.01353,
111,二專,378,8232.0,0.04592,
111,五專,3766,71792.0,0.05246,
111,博士班,229,28672.0,0.00799,
111,學士班,19321,856467.0,0.02256,
111,碩士班,2495,174926.0,0.01426,
112,二專,295,6851.0,0.04306,
112,五專,3656,70064.0,0.05218,
112,博士班,230,28504.0,0.00807,
112,學士班,18798,812707.0,0.02313,
112,碩士班,2443,176703.0,0.01383,
113,二專,317,6179.0,0.0513,
113,五專,3561,68267.0,0.05216,
113,博士班,226,28816.0,0.00784,
113,學士班,18820,793215.0,0.02373,
113,碩士班,2466,177888.0,0.01386,
